Move Name,Gen,Stat Name,Modifier,Recipient
flash,1,accuracy,1,-,target
kinesis,1,accuracy,1,-,target
leaf_tornado,5,accuracy,1,-,target
mirror_shot,4,accuracy,1,-,target
mud_bomb,4,accuracy,1,-,target
mud_slap,2,accuracy,1,-,target
muddy_water,3,accuracy,1,-,target
night_daze,5,accuracy,1,-,target
octazooka,2,accuracy,1,-,target
sand_attack,1,accuracy,1,-,target
smokescreen,1,accuracy,1,-,target
aurora_beam,1,attack,1,-,target
baby_doll_eyes,6,attack,1,-,target
breaking_swipe,8,attack,1,-,target
charm,2,attack,2,-,target
feather_dance,3,attack,2,-,target
growl,1,attack,1,-,target
kings_shield,6,attack,2,-,target
lunge,7,attack,1,-,target
memento,3,attack,2,-,target
noble_roar,6,attack,1,-,target
parting_shot,6,attack,1,-,target
play_nice,6,attack,1,-,target
play_rough,6,attack,1,-,target
strength_sap,7,attack,1,-,target
tearful_look,7,attack,1,-,target
tickle,3,attack,1,-,target
trop_kick,7,attack,1,-,target
venom_drench,6,attack,1,-,target
crush_claw,3,defense,1,-,target
fire_lash,7,defense,1,-,target
grav_apple,8,defense,1,-,target
iron_tail,2,defense,1,-,target
leer,1,defense,1,-,target
liquidation,7,defense,1,-,target
max_phantasm,8,defense,1,-,target
obstruct,8,defense,2,-,target
octolock,8,defense,1,-,target
razor_shell,5,defense,1,-,target
rock_smash,2,defense,1,-,target
screech,1,defense,2,-,target
shadow_bone,7,defense,1,-,target
tail_whip,1,defense,1,-,target
thunderous_kick,8,defense,1,-,target
tickle,3,defense,1,-,target
defog,4,evasion,1,-,target
g_max_tartness,8,evasion,1,-,target
sweet_scent,2,evasion,1,-,target
captivate,4,special_attack,2,-,target
confide,6,special_attack,1,-,target
eerie_impulse,6,special_attack,2,-,target
memento,3,special_attack,2,-,target
mist_ball,3,special_attack,1,-,target
moonblast,6,special_attack,1,-,target
mystical_fire,6,special_attack,1,-,target
noble_roar,6,special_attack,1,-,target
parting_shot,6,special_attack,1,-,target
skitter_smack,8,special_attack,1,-,target
snarl,5,special_attack,1,-,target
spirit_break,8,special_attack,1,-,target
struggle_bug,5,special_attack,1,-,target
tearful_look,7,special_attack,1,-,target
venom_drench,6,special_attack,1,-,target
acid_spray,5,special_defense,2,-,target
apple_acid,8,special_defense,1,-,target
bug_buzz,4,special_defense,1,-,target
earth_power,4,special_defense,1,-,target
energy_ball,4,special_defense,1,-,target
fake_tears,3,special_defense,2,-,target
flash_cannon,4,special_defense,1,-,target
focus_blast,4,special_defense,1,-,target
luster_purge,3,special_defense,1,-,target
max_darkness,8,special_defense,1,-,target
metal_sound,3,special_defense,2,-,target
octolock,8,special_defense,1,-,target
seed_flare,4,special_defense,2,-,target
shadow_ball,2,special_defense,1,-,target
bubble,1,speed,1,-,target
bubble_beam,1,speed,1,-,target
bulldoze,5,speed,1,-,target
constrict,1,speed,1,-,target
cotton_spore,2,speed,2,-,target
drum_beating,8,speed,1,-,target
electroweb,5,speed,1,-,target
g_max_foam_burst,8,speed,2,-,target
glaciate,5,speed,1,-,target
icy_wind,2,speed,1,-,target
low_sweep,5,speed,1,-,target
max_strike,8,speed,1,-,target
mud_shot,3,speed,1,-,target
rock_tomb,3,speed,1,-,target
scary_face,2,speed,2,-,target
sticky_web,6,speed,1,-,target
string_shot,1,speed,1,-,target
tar_shot,8,speed,1,-,target
toxic_thread,7,speed,1,-,target
venom_drench,6,speed,1,-,target
superpower,3,attack,1,-,user
clanging_scales,7,defense,1,-,user
close_combat,4,defense,1,-,user
dragon_ascent,6,defense,1,-,user
hyperspace_fury,6,defense,1,-,user
scale_shot,8,defense,1,-,user
